index,date,category,amount,description,author
0,2023-09-01,TOTALE,200,totale settembre,DANIELE
1,2023-10-01,TOTALE,20,totale ottobre (2a settimana),DANIELE
2,2023-10-14,SPESA,25.18,spesa Esselunga (49),DANIELE
3,2023-10-14,USCITE,10,kfc Aureliano,DANIELE
4,2023-10-16,SPESA,4.48,carrefour,DANIELE
5,2023-10-21,USCITE,16,pizza crocca,DANIELE
6,2023-10-22,USCITE,2.9,gelato,DANIELE
7,2023-10-22,SPESA,26.59,spesa lasagna,DANIELE
8,2023-10-24,USCITE,7,wok,DANIELE
9,2023-10-24,CASA,10,pulizie,DANIELE
10,2023-10-25,SPESA,41.1,spesa esselunga,DANIELE
11,2023-11-01,SPESA,1.79,spesa Esselunga (49.79),DANIELE
12,2023-11-02,ALTRO,3,fotocopie,DANIELE
13,2023-11-03,MEZZI,22,abbonamento atm,DANIELE
